,$,private,public,rpar,lpar,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,id,attribute,constructorkeyword,function,localvar,rsqbr,lsqbr,arrow,sr,not,floatnum,class,assign,intnum,or,eof
START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START ? PROG eof,,,,,,,,START ? PROG eof,,,,START ? PROG eof
ADDOP,,,,,,,,,,,,,,,,,,,ADDOP ? minus,ADDOP ? plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP ? or,
APARAMS,,,,APARAMS ? &epsilon,APARAMS ? EXPR REPTAPARAMS1,,,,,,,,,,,,,,APARAMS ? EXPR REPTAPARAMS1,APARAMS ? EXPR REPTAPARAMS1,,,,,,,,,,,,,,APARAMS ? EXPR REPTAPARAMS1,,,,,,,,,APARAMS ? EXPR REPTAPARAMS1,APARAMS ? EXPR REPTAPARAMS1,,,APARAMS ? EXPR REPTAPARAMS1,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL ? comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR ? TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,ARITHEXPR ? TERM RIGHTRECARITHEXPR,ARITHEXPR ? TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,ARITHEXPR ? TERM RIGHTRECARITHEXPR,,,,,,,,,ARITHEXPR ? TERM RIGHTRECARITHEXPR,ARITHEXPR ? TERM RIGHTRECARITHEXPR,,,ARITHEXPR ? TERM RIGHTRECARITHEXPR,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT ? APARAMSLIST,,,,ARRAYOROBJECT ? REPTARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT ? REPTARRAYSIZE,,,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE ? lsqbr ARRAYSIZE2,,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 ? rsqbr,,,,,,,,ARRAYSIZE2 ? INTNUM rsqbr,,
INTNUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTNUM ? intnum,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP ? assign,,,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL ? class ID OPTINHERITS lcurbr REPTMEMBERDECL rcurbr semi,,,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF ? FUNCDEF,,,,,,,,CLASSDECLORFUNCDEF ? CLASSDECL,,,,
EXPR,,,,,EXPR ? ARITHEXPR EXPR2,,,,,,,,,,,,,,EXPR ? ARITHEXPR EXPR2,EXPR ? ARITHEXPR EXPR2,,,,,,,,,,,,,,EXPR ? ARITHEXPR EXPR2,,,,,,,,,EXPR ? ARITHEXPR EXPR2,EXPR ? ARITHEXPR EXPR2,,,EXPR ? ARITHEXPR EXPR2,,
EXPR2,,,,EXPR2 ? &epsilon,,,,,EXPR2 ? &epsilon,,,,,,,,,,,,,EXPR2 ? &epsilon,EXPR2 ? RELOPOP ARITHEXPR,EXPR2 ? RELOPOP ARITHEXPR,EXPR2 ? RELOPOP ARITHEXPR,EXPR2 ? RELOPOP ARITHEXPR,EXPR2 ? RELOPOP ARITHEXPR,EXPR2 ? RELOPOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR ? lpar ARITHEXPR rpar,,,,,,,,,,,,,,FACTOR ? SIGN FACTOR,FACTOR ? SIGN FACTOR,,,,,,,,,,,,,,FACTOR ? ID FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,FACTOR ? not FACTOR,FACTOR ? floatnum,,,FACTOR ? INTNUM,,
FACTOR2,,,,FACTOR2 ? REPTIDNEST1,FACTOR2 ? APARAMSLIST,FACTOR2 ? REPTIDNEST1,,,FACTOR2 ? REPTIDNEST1,,,,,,,,,,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,,,,,,,FACTOR2 ? REPTIDNEST1,FACTOR2 ? REPTIDNEST1,,,,,,,,FACTOR2 ? REPTIDNEST1,
FPARAMS,,,,FPARAMS ? &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPARAMS ? VARDECL REPTARRAYSIZE REPTFPARAMS4,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL ? comma VARDECL REPTARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,FUNCBODY ? lcurbr REPTLOCALVARORSTAT rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF ? FUNCHEAD FUNCBODY,,,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD ? function ID FUNCHEADTAIL,,,,,,,,,,,,
PARAMLIST,,,,,PARAMLIST ? lpar FPARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL ? ID PARAMLIST ARROWRETURNTYPE,,FUNCHEADMEMBERTAIL ? constructorkeyword PARAMLIST,,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL ? PARAMLIST ARROWRETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL ? sr FUNCHEADMEMBERTAIL,,,,,,,
ARROWRETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARROWRETURNTYPE ? arrow RETURNTYPE,,,,,,,,
IDNEST,,,,,,IDNEST ? dot ID IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
